Temperature (K),Pression (Pa),Altitude above local surface (m),Monthly mean surface H2O layer (kg/m2),Monthly mean surface CO2 ice layer (kg/m2),Water vapor column (kg/m2),Water ice column (kg/m2),Water ice mixing ratio (mol/mol),Water ice effective radius (m),GCM perennial surface water ice (0 or 1),H column (kg/m2),H2 column (kg/m2),Electron number density (m-3),Total electronic content
230.979,733.438,10.0,6.32129e-06,0.0,0.0376954,0.000508683,2.43405e-06,6.44695e-06,0.0,1.14284e-08,0.000208409,0.26821,7695350000.0
228.826,729.784,10.0,0.000106189,0.0,0.0339604,0.000838108,8.38968e-06,5.50127e-06,0.0,1.34645e-08,0.000206608,0.272293,8563380000.0
226.153,738.403,10.0,0.000264657,0.0,0.0306966,0.00143068,1.57379e-05,5.22357e-06,0.0,1.58003e-08,0.000207496,0.278114,9387040000.0
223.559,742.465,10.0,0.000670408,0.0,0.0285661,0.00244415,2.89935e-05,1.88736e-05,0.0,1.81378e-08,0.000206567,0.276924,10004500000.0
221.35,754.298,10.0,0.00299249,0.0,0.0300602,0.00371752,4.24619e-05,1.21245e-05,0.0,2.01521e-08,0.000207503,0.270392,10329500000.0
214.512,766.076,10.0,0.0117572,0.0,0.0324635,0.0049433,7.08755e-05,8.12923e-06,1.0,2.1634e-08,0.000208938,0.269936,10355100000.0
216.318,765.703,10.0,0.0275826,0.0,0.0346583,0.00554062,6.80322e-05,8.22215e-06,0.0,2.25158e-08,0.000207745,0.260529,10134900000.0
209.699,720.906,10.0,6.74973,0.0,0.0317893,0.00573194,0.00010509,1.61667e-05,0.0,2.27592e-08,0.000195168,0.247559,9700800000.0
206.424,643.496,10.0,0.176068,0.0,0.0284003,0.00502079,0.000112152,2.80086e-05,1.0,2.26472e-08,0.000173898,0.221678,9218530000.0
202.195,578.552,10.0,0.0358143,0.0,0.0237626,0.00460875,0.000134775,2.74863e-05,1.0,2.30905e-08,0.00015632,0.204842,8788960000.0
